tile,lat,long,biome,elevation,temperature,rainfall,hilliness,swampiness
0,58.2787,-90,AB_PropaneLakes,713.48,-38.7711,932.3226,Flat,-0.0033
1,58.2787,90,BiomeArcticOasis,60.9763,-34.7746,872.0688,Flat,0.1117
2,-58.2787,-90,Ocean,-350,-37.0754,240.9435,Flat,0
3,-58.2787,90,AB_PropaneLakes,737.5698,-42.0981,511.7363,Flat,0
4,-31.716,180,Ocean,-350,-75.3908,512.6157,Flat,0
5,31.716,180,AB_PropaneLakes,334.1899,-77.8452,2620.292,Flat,0.4011
6,-31.716,0,ExtremeDesert,733.3715,30.815,62.435,Flat,0
7,31.716,0,Ocean,-350,32.8067,682.9781,Mountainous,0
8,0,58.2825,BiomeGRimonade,296.5078,-2.3112,755.952,Mountainous,0
9,0,121.7175,AB_PropaneLakes,859.0522,-79.6613,2509.416,Flat,0
10,0,-58.2825,BiomeGRimonade,12,-1.7124,563.3317,Flat,0
11,0,-121.7175,AB_PropaneLakes,497.7904,-71.8032,737.5325,Flat,0.0176
12,35.2596,-135,AB_PropaneLakes,1107.858,-79.2364,1806.006,Flat,0
13,69.0771,-180,AB_PropaneLakes,108.1735,-64.5463,110.6233,Flat,0
14,69.0771,0,BiomeArcticOasis,96.8424,-11.1831,462.0598,SmallHills,0
15,35.2596,-45,Ocean,-350,1.915,1179.815,Flat,0.1724
16,20.9026,-90,AB_PropaneLakes,43.1657,-38.9615,1878.727,Flat,0.3685
17,35.2596,135,Ocean,-350,-72.4101,292.7468,Flat,0
18,0,-159.0948,AB_PropaneLakes,12.1574,-76.3455,4127.328,Flat,0.0869
19,-20.9026,-90,AB_PropaneLakes,80.7231,-35.8011,4225.333,Flat,0.2141
20,0,-20.9052,AridShrubland,46.7369,50.2249,1847.031,Flat,0.6952
21,35.2596,45,Ocean,-350,1.3752,1540.568,Mountainous,0
22,-35.2596,135,AB_PropaneLakes,1149.405,-79.6512,961.6362,Flat,0
23,-69.0771,180,AB_PropaneLakes,470.0308,-63.802,601.8444,Flat,0
24,-69.0771,0,BiomeArcticOasis,188.6411,-11.7954,328.0677,Mountainous,0
25,-35.2596,45,BiomeGRimonade,1629.593,-8.7684,1040.028,Mountainous,0
26,-20.9026,90,AB_PropaneLakes,1442.765,-49.4857,824.2001,Flat,0
27,0,159.0948,AB_PropaneLakes,392.7269,-78.9303,610.405,SmallHills,0
28,-35.2596,-135,AB_PropaneLakes,36.9424,-71.2693,545.0053,Flat,0
29,-35.2596,-45,Wasteland,170.7117,2.1424,656.1571,Flat,0
30,0,20.9052,AridShrubland,1929.24,37.844,1151.803,Flat,0
31,20.9026,90,Ocean,-350,-38.4115,2557.966,Flat,0.0971
32,40.1893,-105.7836,AB_PropaneLakes,86.8813,-51.5886,944.7088,Flat,0.0011
33,58.5465,-130.1254,AB_PropaneLakes,2191.388,-76.4305,239.3522,Flat,0
34,78.95,-90,AB_PropaneLakes,1830.715,-47.013,81.5089,Flat,0
35,58.5465,-49.8746,BiomeArcticOasis,1006.332,-19.5873,445.7553,LargeHills,0
